meal_type,meal_name,calories
dinner,Grilled Chicken Breast with Steamed Broccoli and Quinoa,350
dinner,Baked Salmon with Roasted Brussels Sprouts and Brown Rice,350
dinner,Stir-fried Shrimp with Mixed Vegetables and Cauliflower Rice,350
dinner,Pan-seared Tilapia with Asparagus and Quinoa,350
dinner,Chicken Stir-fry with Snow Peas and Brown Rice,350
dinner,Grilled Chicken Salad with Mixed Greens and Balsamic Vinaigrette,400
dinner,Baked Cod with Roasted Sweet Potatoes and Green Beans,400
dinner,Shrimp and Vegetable Skewers with Quinoa,400
dinner,Lemon Herb Grilled Chicken with Steamed Asparagus and Brown Rice,400
dinner,Turkey and Vegetable Stir-fry with Cauliflower Rice,400
dinner,Salmon Fillet with Roasted Brussels Sprouts and Quinoa,450
dinner,Chicken Fajita Bowl with Brown Rice,450
dinner,Grilled Shrimp with Zucchini Noodles and Pesto Sauce,450
dinner,Turkey and Black Bean Stuffed Bell Peppers,450
dinner,Lemon Garlic Baked Tilapia with Steamed Broccoli and Wild Rice,450
dinner,Grilled Chicken Breast with Sweet Potato and Asparagus,500
dinner,Shrimp Stir-Fry with Mixed Vegetables and Brown Rice,500
dinner,Turkey Meatballs with Tomato Sauce and Whole Wheat Pasta,500
dinner,Baked Cod with Quinoa and Roasted Vegetables,500
dinner,chicken and Broccoli Stir-Fry with Jasmine Rice,500
dinner,Grilled Salmon with Lemon-Dill Sauce and Steamed Broccoli,550
dinner,Chicken Tikka Masala with Basmati Rice,550
dinner,chicken and Vegetable Skewers with Quinoa,550
dinner,Shrimp Scampi with Whole Wheat Pasta,550
dinner,Turkey and Vegetable Stir-Fry with Brown Rice,550
dinner,Grilled Chicken Breast with Roasted Sweet Potatoes,600
dinner,Lemon Herb Baked Cod with Mixed Vegetables,600
dinner,chicken and Broccoli Stir-Fry with Quinoa,600
dinner,Spicy Shrimp and Vegetable Curry with Brown Rice,600
dinner,Turkey Burger with Avocado and Quinoa Salad,600
dinner,Grilled Chicken Breast with Roasted Sweet Potatoes,650
dinner,Lemon Herb Baked Cod with Mixed Vegetables,650
dinner,Spicy Shrimp and Vegetable Curry with Brown Rice,650
dinner,Turkey Burger with Avocado and Quinoa Salad,650
dinner,Salmon Teriyaki with Steamed Broccoli and Quinoa,650
dinner,Grilled Salmon with Asparagus and Wild Rice,700
dinner,Shrimp Stir-Fry with Mixed Vegetables and Brown Rice,700
dinner,Chicken Tikka Masala with Quinoa,700
